航线,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,"2024年深航共拥有波音737系列,空客A319,A320,A330系列各类型客机超200架",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
国内出发,,,国际出发,,,空客系列,公务舱,舒适经济舱,经济舱,座位总数,平均机龄,图片
始发地,目的地,航距（公里）,始发地,目的地,航距（公里）,机型：A330,18座,24座,267座,309座,5年,"=DISPIMG(""ID_88343D7CFFDE4F66B67FA783CC009CE4"",1)"
扬州泰州,深圳,1546,,,,,,,,,,
扬州泰州,西安,1314,,,,,,,,,,
扬州泰州,厦门,1017,,,,,,,,,,
烟台,广州,2132,,,,,,,,,,
烟台,郑州,896,,,,,,,,,,
烟台,长春,895,,,,,,,,,,
烟台,长沙,1437,,,,,,,,,,
烟台,哈尔滨,1093,,,,,,,,,,
烟台,南京,752,,,,,,,,,,
烟台,沈阳,593,,,,,,,,,,
烟台,深圳,2191,,,,,,,,,,
烟台,成都天府,1882,,,,,,,,,,
烟台,无锡,850,,,,,,,,,,
宜宾,合肥,1450,,,,,,,,,,
宜宾,泉州,1675,,,,,,,,,,
宜宾,南昌,1340,,,,,,,,,,
宜宾,深圳,1285,,,,,,,,,,
宜宾,温州,1910,,,,,,,,,,
宜春,海口,1120,,,,,,,,,,
宜春,南京,754,,,,,,,,,,
宜春,北京首都,1504,,,,,,,,,,
宜春,深圳,771,,,,,,,,,,
郑州,广州,1389,,,,,,,,,,
郑州,大连,988,,,,,,,,,,
郑州,福州,1192,,,,,,,,,,
郑州,海口,1873,,,,,,,,,,
郑州,哈尔滨,1662,,,,,,,,,,
郑州,舟山,1153,,,,,,,,,,
郑州,惠州,1633,,,,,,,,,,
郑州,银川,951,,,,,,,,,,
郑州,泉州,1320,,,,,,,,,,
郑州,南宁,1557,,,,,,,,,,
郑州,沈阳,1339,,,,,,,,,,
郑州,深圳,1465,,,,,,,,,,
郑州,西宁,1196,,,,,,,,,,
郑州,烟台,896,,,,,,,,,,
中国香港,泉州,552,,,,,,,,,,
中国香港,南通,2966,,,,,,,,,,
中国香港,无锡,1211,,,,,,,,,,
中国澳门,南京,1200,,,,,,,,,,
中国澳门,无锡,1235,,,,,,,,,,
中国台北,深圳,811,,,,,,,,,,
珠海,常州,1462,,,,,,,,,,
珠海,南京,1544,,,,,,,,,,
珠海,南通,1522,,,,,,,,,,
珠海,无锡,1476,,,,,,,,,,
珠海,襄阳,1312,,,,,,,,,,
珠海,运城,1697,,,,,,,,,,
舟山,郑州,1153,,,,,,,,,,
舟山,泉州,813,,,,,,,,,,
湛江,泉州,1013,,,,,,,,,,
