航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
,景洪,1342,,,
,昆明,1138,,,
,海口,459,,,
,三亚,665,,,
昆明,乌鲁木齐,2514,,,
,兰州,1268,,,
,长春,2937,,,
,沈阳,2634,,,
,汕头,1384,,,
,珠海,1117,,,
,海口,962,,,
,三亚,1009,,,
乌鲁木齐,布尔津,480,,,
,阿勒泰地区,430,,,
,富蕴,359,,,
,三亚,3505,,,
,海口,3410,,,
,南宁,3032,,,
,厦门,3510,,,
,南昌,3019,,,
,南通,3187,,,
,宁波,3370,,,
,南京,3043,,,
,合肥,2884,,,
,青岛,2873,,,
,济南,2620,,,
,石家庄,2351,,,
,太原,2213,,,
,沈阳,2924,,,
,烟台,2882,,,
,大连,2869,,,
,呼和浩特,2020,,,
,长春,3029,,,
,哈尔滨,3035,,,
厦门,长春,2268,,,
,沈阳,1962,,,
,大连,1633,,,
,贵阳,1156,,,
,南宁,1035,,,
义乌,长春,1703,,,
,沈阳,1400,,,
,天津,1114,,,
,恩阳,1307,,,
,贵阳,1334,,,
,珠海,1053,,,
,海口,1423,,,
,汕头,732,,,
汕头,福州,742,,,
,丽水,629,,,
,舟山,916,,,
,宁波,853,,,
,南通,1043,,,
,常州,983,,,
,盐城,1154,,,
,南京,938,,,
,淮安,1165,,,
,青岛,1465,,,
,临沂,1291,,,
,徐州,1172,,,
,济南,1479,,,
,南阳,1114,,,
,宜昌,922,,,
,贵阳,1030,,,
,南宁,858,,,
,三亚,938,,,
,海口,742,,,
海口,珠海,380,,,
,南京,1556,,,
,石家庄,2079,,,
,沈阳,2705,,,
,兰州,1959,,,
,贵阳,822,,,
,南宁,380,,,
